identify;identifier - déterminer;B1;7;ACTION;REGULAR
ignore;ignorer - négliger;A2;6;ACTION;REGULAR
illuminate;illuminer - éclairer;B2;3;ACTION;REGULAR
illustrate;illustrer - représenter;B2;5;ACTION;REGULAR
imagine;imaginer - concevoir;A2;7;ACTION;REGULAR
imitate;imiter - copier;A2;5;ACTION;REGULAR
immigrate;immigrer - s'installer;B1;4;ACTION;REGULAR
impact;impacter - affecter;B2;6;ACTION;REGULAR
impart;impartir - transmettre;C1;3;ACTION;REGULAR
impede;empêcher - entraver;B2;4;ACTION;REGULAR
implant;implanter - insérer;B2;3;ACTION;REGULAR
implement;implémenter - exécuter;B2;5;ACTION;REGULAR
implicate;impliquer - incriminer;B2;4;ACTION;REGULAR
impose;imposer - instaurer;B1;6;ACTION;REGULAR
impress;impressionner - marquer;A2;7;ACTION;REGULAR
improve;améliorer - perfectionner;A2;8;ACTION;REGULAR
incite;inciter - encourager;B1;5;ACTION;REGULAR
incline;incliner - pencher;B1;4;ACTION;REGULAR
include;inclure - intégrer;A2;8;ACTION;REGULAR
increase;augmenter - accroître;A2;8;ACTION;REGULAR
indicate;indiquer - signaler;A2;7;ACTION;REGULAR
induce;induire - provoquer;B2;4;ACTION;REGULAR
indulge;indulger - céder;B2;3;ACTION;REGULAR
infect;infecter - contaminer;B1;5;ACTION;REGULAR
influence;influencer - affecter;B1;7;ACTION;REGULAR
inform;informer - notifier;A2;8;ACTION;REGULAR
initiate;initier - commencer;B1;6;ACTION;REGULAR
inject;injecter - insérer;B1;4;ACTION;REGULAR
injure;blessé - endommager;A2;5;ACTION;REGULAR
inquire;se renseigner - demander;B1;6;ACTION;REGULAR
insert;insérer - introduire;A2;6;ACTION;REGULAR
inspect;inspecter - examiner;B1;5;ACTION;REGULAR
inspire;inspirer - motiver;B1;7;ACTION;REGULAR
install;installer - mettre en place;A2;7;ACTION;REGULAR
instruct;instruire - enseigner;B1;6;ACTION;REGULAR
insure;assurer - garantir;B1;5;ACTION;REGULAR
integrate;intégrer - incorporer;B1;6;ACTION;REGULAR
interact;interagir - communiquer;B1;7;ACTION;REGULAR
interfere;interférer - intervenir;B2;4;ACTION;REGULAR
interpret;interpréter - traduire;B2;5;ACTION;REGULAR
interrupt;interrompre - stopper;A2;6;ACTION;REGULAR
introduce;introduire - présenter;A2;8;ACTION;REGULAR
invent;inventer - créer;A2;6;ACTION;REGULAR
invert;inverser - renverser;B2;4;ACTION;REGULAR
invest;investir - placer;B1;7;ACTION;REGULAR
investigate;enquêter - examiner;B2;5;ACTION;REGULAR
invite;inviter - convier;A1;8;ACTION;REGULAR
involve;impliquer - engager;B1;7;ACTION;REGULAR
isolate;isoler - séparer;B2;4;ACTION;REGULAR
issue;émettre - publier;B2;5;ACTION;REGULAR
itch;démanger - gratter;A2;3;ACTION;REGULAR
itemize;énumérer - lister;B2;4;ACTION;REGULAR
